name,address,city,state,zip,inspection_score
el norteo,801 bryant st,San Francisco,CA,94103,94.0
philz coffee truck,250 pine st,San Francisco,CA,94104,100.0
manhattan hub inc,343 sansome st suite 140,San Francisco,CA,94104,69.0
the grind cafe,783 haight st,San Francisco,CA,94117,90.0
loi's vietnamese restaurant,2228 irving st,San Francisco,CA,94122,89.0
tacos club,2312 market st,San Francisco,CA,94114,83.0
raavi,533 jackson st,San Francisco,CA,94133,76.0
las isletas,4508 03rd st,San Francisco,CA,94124,63.0
riverside seafood restaurant,1201 vicente st,San Francisco,CA,94116,86.0
vinyl cafe and wine bar,359 divisadero st,San Francisco,CA,94117,77.0
torino market,4830 03rd st,San Francisco,CA,94124,88.0
international house of pancakes,200 beach st,San Francisco,CA,94133,96.0
la taqueria guadalajara,3146 24th st,San Francisco,CA,94110,70.0
frisco fried,5176 03rd st,San Francisco,CA,94124,86.0
poc-chuc restaurant,2886 16th st,San Francisco,CA,94103,71.0
rite spot cafe,2099 folsom st,San Francisco,CA,94110,92.0
wise sons deli,3150 24th st,San Francisco,CA,94110,96.0
pinecrest diner,401 geary st,San Francisco,CA,94102,84.0
catch,2362 market st,San Francisco,CA,94114,92.0
let's eat,5130 03rd st,San Francisco,CA,94124,94.0
saiwaii ramen,2240 irving st,San Francisco,CA,94122,94.0
kennedy market & deli,4600 03rd st,San Francisco,CA,94124,86.0
j j fish & chicken,5100 03rd st,San Francisco,CA,94124,85.0
brass tacks,488 a hayes st,San Francisco,CA,94102,98.0
cafe madeleine,43 o'farrell st,San Francisco,CA,94108,92.0
chapel hill coffee llc,670 b commercial st,San Francisco,CA,94111,96.0
walzwerk llc,381 south van ness ave,San Francisco,CA,94103,96.0
bayviee hunter pt. adult day he,1250 la salle,San Francisco,CA,94124,92.0
city lunch restaurant,2101 ingalls st,San Francisco,CA,94124,81.0
pho huynh sang,239 clement st.,San Francisco,CA,94118,88.0
centro latino de sf at the star hotel,2176 mission st.,San Francisco,CA,94110,96.0
sf bagel co. (katz bagels),3147 16th st,San Francisco,CA,94103,79.0
cafe venue,218 montgomery st,San Francisco,CA,94104,87.0
sunflower restaurant,506 valencia st,San Francisco,CA,94103,81.0
central kitchen & salumeria,782 florida,San Francisco,CA,94110,83.0
cafe union,1830 union st,San Francisco,CA,94123,94.0
henry's hunan restaurant,1708 church st,San Francisco,CA,94131,90.0
arizmendi bakery,1268 valencia st,San Francisco,CA,94110,88.0
subway sandwiches #27662,388 market st #102,San Francisco,CA,94111,90.0
glaze teriyaki,1946 fillmore st,San Francisco,CA,94115,86.0
bluestem brasserie,1 yerba buena ln,San Francisco,CA,94103,80.0
moolicious cafe and crepe,1 sansome st #105,San Francisco,CA,94104,96.0
mamas on washington square,1701 stockton st,San Francisco,CA,94133,83.0
trick dog,3010 20th st,San Francisco,CA,94110,92.0
b star,127 clement st,San Francisco,CA,94118,92.0
proper food,555 california st,San Francisco,CA,94104,100.0
california pacific medical ctr - hospital kitchen,2333 buchanan st level a,San Francisco,CA,94120,96.0
tommy's joynt,1101 geary blvd,San Francisco,CA,94109,83.0
pakwan restaurant,1140 ocean ave,San Francisco,CA,94112,90.0
a-1 bakery,1727 ocean ave,San Francisco,CA,94112,86.0
oscar burger & deli,1850 cesar chavez st,San Francisco,CA,94124,64.0
flower market cafe,698 brannan st,San Francisco,CA,94107,77.0
noriega teriyaki house,1755 noriega st,San Francisco,CA,94122,70.0
anar restaurant persian cuisine llc,937 harrison st,San Francisco,CA,94107,83.0
starbucks coffee #5486,36 02nd st,San Francisco,CA,94105,90.0
house of coffee,1618 noriega st,San Francisco,CA,94122,100.0
the roosevelt,2817 24th st,San Francisco,CA,94110,96.0
chipotle mexican grill #1857,211 sutter st,San Francisco,CA,94104,100.0
california pacific medical center - cafe,2333 buchanan st 1st floor,San Francisco,CA,94115,100.0
on low wui senior center,"777 stockton st, 1st  floor",San Francisco,CA,94108,96.0
aquitaine llc,175 sutter st,San Francisco,CA,94104,89.0
auto city food mart,505 so. van ness ave,San Francisco,CA,94110,80.0
hornblower cruises & events/sf belle,pier 3,San Francisco,CA,94111,92.0
marlowe,500 brannan st,San Francisco,CA,94107,94.0
district,216 townsend st,San Francisco,CA,94107,92.0
superb garden grocery,2433 noriega st,San Francisco,CA,94122,96.0
alexander's steakhouse,448 brannan st,San Francisco,CA,94107,80.0
live sushi bistro,1 gilbert st,San Francisco,CA,94103,84.0
dos amigos,888 brannan st,San Francisco,CA,94103,86.0
bergerac,316 11th st,San Francisco,CA,94103,94.0
j.b.'s place,1435 17th st,San Francisco,CA,94107,92.0
safeway #785,850 la playa st,San Francisco,CA,94121,96.0
akira japanese restaurant,1634 bush st,San Francisco,CA,94109,90.0
hornblower hospitality svcs/mv calif. hornblower,pier 3 the embarcadero,San Francisco,CA,94111,96.0
bread and cocoa,199 sutter st,San Francisco,CA,94104,91.0
sf noriega new century seafood,2427 noriega st,San Francisco,CA,94122,88.0
farley's,1315 18th st,San Francisco,CA,94107,94.0
m.p. seafood market,848 jackson st,San Francisco,CA,94133,92.0
pineapple king bakery,1915 irving st,San Francisco,CA,94122,90.0
afc sushi@safeway#0785,850 la playa st,San Francisco,CA,94121,100.0
zynga,699 08th st,San Francisco,CA,94103,92.0
hornblower cruises & events/sf spirit,"pier 3, the embarcadero",San Francisco,CA,94111,98.0
philz coffee,1775 17th st,San Francisco,CA,94107,92.0
tofu village,1920 irving st,San Francisco,CA,94122,89.0
hornblower cruises & events/hornblower-santa rosa,pier 3  the embarcadero,San Francisco,CA,94111,100.0
unimart,1201 howard st,San Francisco,CA,94103,98.0
clay oven indian restaurant,385 west portal ave,San Francisco,CA,94127,86.0
bernie's,3966 24th st,San Francisco,CA,94114,89.0
taqueria san jose #1,2830 mission st,San Francisco,CA,94110,87.0
hoshi ramen & rice,2274 lombard st,San Francisco,CA,94123,81.0
arabian nights,2345 mission st,San Francisco,CA,94110,79.0
trattoria da vittorio,150 west portal ave,San Francisco,CA,94127,81.0
burrito loco,850 ulloa st,San Francisco,CA,94127,90.0
st. francis yacht club,foot of baker street st,San Francisco,CA,94123,87.0
mission foodhall,3100 16th st,San Francisco,CA,94103,96.0
chevron stations inc. #1522,1501 van ness ave,San Francisco,CA,94109,100.0
press club,20 yerba buena ln,San Francisco,CA,94103,96.0
vive la tarte,1 ferry building  north arcade 50/50a,San Francisco,CA,94111,100.0
ginger elizabeth chocolates,3108 fillmore st,San Francisco,CA,94123,96.0
williams-sonoma,340 post st,San Francisco,CA,94108,92.0
nijiya market,1737 post st 333,San Francisco,CA,94115,88.0
peet's coffee & tea,2300 16th st #240,San Francisco,CA,94103,98.0
tacos el primo,2225 jennings st,San Francisco,CA,94124,84.0
cafe encore,488 post st,San Francisco,CA,94109,92.0
jamba juice,2300 16th st.,San Francisco,CA,94103,94.0
kokio republic,428 11th st,San Francisco,CA,94109,84.0
railroad expresso cafe,705 \ blvd,San Francisco,CA,94127,92.0
noah's new york bagels #2147,2300 16 th st,San Francisco,CA,94103,96.0
whole foods market,1765 california st,San Francisco,CA,94109,88.0
juice shop,142 02nd st,San Francisco,CA,94105,100.0
sing sing,309 hyde st,San Francisco,CA,94109,88.0
streets,634 polk st,San Francisco,CA,94102,92.0
nabe,1325 09th ave,San Francisco,CA,94122,94.0
mediterrean food,3848 judah st,San Francisco,CA,94122,77.0
stable cafe,2128 folsom st,San Francisco,CA,94110,98.0
chatz,301 arkansas st,San Francisco,CA,94107,90.0
potrero terrace market,990 wisconsin st,San Francisco,CA,94107,98.0
sea breeze cafe,3940 judah st,San Francisco,CA,94122,96.0
san francisco tennis club,645 05th st,San Francisco,CA,94107,85.0
inner fog,555 irving st  #1,San Francisco,CA,94122,96.0
hai's restaurant,227 hyde st,San Francisco,CA,94102,94.0
cafe dolci,740 market st,San Francisco,CA,94102,96.0
"hotel utah saloon, the",500 04th st,San Francisco,CA,94107,92.0
el tepa,2198 folsom st,San Francisco,CA,94110,92.0
ganim's market,1135 18th st,San Francisco,CA,94107,94.0
sugar lounge,377 hayes st,San Francisco,CA,94102,85.0
the crab station of fisherman's wharf,foot of taylor st #2,San Francisco,CA,94133,79.0
the golden west,8 trinity pl,San Francisco,CA,94104,89.0
slurp noodle bar,469 castro st,San Francisco,CA,94114,82.0
crab station at fisherman's wharf,pier 45  shed b unit d,San Francisco,CA,94133,100.0
provender,1415 18th st,San Francisco,CA,94107,96.0
"broadmoor, the",1499 sutter st,San Francisco,CA,94109,94.0
thai cottage restaurant,4041 judah st,San Francisco,CA,94122,98.0
trader joe's #200,1095 hyde st,San Francisco,CA,94109,100.0
ladle & leaf,1 market st.,San Francisco,CA,94105,96.0
javalenica cafe,920 valencia st,San Francisco,CA,94110,81.0
kara's cupcakes,3249 scott,San Francisco,CA,94123,92.0
lombard union 76,2498 lombard st,San Francisco,CA,94123,94.0
golden gate market,2767 lombard st,San Francisco,CA,94123,86.0
una mas mexican grill,1 market pl 23,San Francisco,CA,94105,90.0
castillito yocateco,2052 mission st,San Francisco,CA,94110,94.0
island market and deli,"1 avenue of the palms,  suite a",San Francisco,CA,94130,90.0
delarosa,37 yerba buena ln,San Francisco,CA,94103,78.0
the tipsy pig,2231 chestnut st,San Francisco,CA,94123,93.0
guckenheimer - cafe express,420 montgomery st,San Francisco,CA,94104,96.0
guckenheimer - penthouse,420 montgomery st,San Francisco,CA,94104,98.0
miller's rest,1085 sutter st,San Francisco,CA,94109,89.0
st mary's hospital cafeteria,450 stanyan st l-b,San Francisco,CA,94117,100.0
limon rotisserie,5800 03rd st  1004,San Francisco,CA,94124,90.0
red door coffee,111 minna st,San Francisco,CA,94105,94.0
nick's lighthouse,pier 45  shed b space 1a,San Francisco,CA,94133,96.0
thinker's cafe,1631 20th st,San Francisco,CA,94107,96.0
ben & jerry's,5913 03rd st,San Francisco,CA,94124,94.0
gallery cafe,1200 mason st,San Francisco,CA,94108,96.0
university club,800 powell st,San Francisco,CA,94108,100.0
sammy's on 2nd,84 02nd st,San Francisco,CA,94105,96.0
noodle city,1165 powell st,San Francisco,CA,94108,100.0
southern pacific brewing,620 treat ave,San Francisco,CA,94110,91.0
bbc cafe,1485 bayshore blvd,San Francisco,CA,94124,92.0
f2 founders llc,400 grove st,San Francisco,CA,94102,89.0
kushi tsuru,1737 post st 380,San Francisco,CA,94115,78.0
my ivy corp.,1901 divisadero st,San Francisco,CA,94115,92.0
mikado sushi inc.,1684 bryant st,San Francisco,CA,94103,69.0
as quoted,3613 sacramento st,San Francisco,CA,94118,89.0
portico,245 market st #3,San Francisco,CA,94103,80.0
tenroku sushi,1825 post st #215,San Francisco,CA,94115,83.0
fat beli deli,2598 san bruno ave,San Francisco,CA,94134,84.0
tacos el ojo de agua,551 03rd st,San Francisco,CA,94107,92.0
togo's,2300 16th st,San Francisco,CA,94103,78.0
krispy krunchy chicken,4517 3rd st,San Francisco,CA,94124,92.0
la capra coffee,50 fremont st,San Francisco,CA,94105,92.0
