"name","address","city","state","zip","inspection_score","rating"
"arizmendi bakery","1268 valencia st","San Francisco","CA","94110","88.0","4.5"
"vive la tarte","1 ferry building  north arcade 50/50a","San Francisco","CA","94111","100.0","4.0"
"kokio republic","428 11th st","San Francisco","CA","94109","84.0","4.0"
"gallery cafe","1200 mason st","San Francisco","CA","94108","96.0","4.0"
"as quoted","3613 sacramento st","San Francisco","CA","94118","89.0","3.5"
"cathead's bbq","1665 folsom st","San Francisco","CA","94103","92.0","4.0"
"i'a poke","1515 fillmore st","San Francisco","CA","94114","86.0","4.0"
"milkbean","881 post st","San Francisco","CA","94109","94.0","4.5"
"social kitchen & brewery","1326 09th ave","San Francisco","CA","94122","68.0","3.5"
"top round roast beef","2962 24th st.","San Francisco","CA","94110","98.0","4.0"
"taqueria cazadores","1600 c mission st","San Francisco","CA","94110","78.0","4.0"
"baiano pizzeria","100 gough st","San Francisco","CA","94102","94.0","3.5"
"tasty pot","815 clement st","San Francisco","CA","94118","85.0","4.0"
"mission beach cafe","198 guerrero st","San Francisco","CA","94103","65.0","4.0"
"breakfast little","3224 22nd st.","San Francisco","CA","94110","98.0","5.0"
"craftsman and wolves","746 valencia st","San Francisco","CA","94110","96.0","4.0"
"chomp station","428 11th st","San Francisco","CA","94103","92.0","4.5"
"our poke place","3515 20th st","San Francisco","CA","94110","94.0","4.0"
"la fromagerie","101 montgomery st","San Francisco","CA","94101","92.0","4.5"
"bazaar cafe","5927 california st","San Francisco","CA","94121","96.0","4.0"
"tortas los picudos","2969 24th st","San Francisco","CA","94110","92.0","4.5"
"the spanish table","130 clement st","San Francisco","CA","94118","100.0","4.5"
"the crepe house","1132 valencia st","San Francisco","CA","94110","94.0","4.0"
"poki time","2101 lombard st","San Francisco","CA","94123","91.0","4.0"
"toasty","2760 octavia st","San Francisco","CA","94123","94.0","4.0"
"boba guys","3491 19th st","San Francisco","CA","94110","98.0","4.0"
"huli huli hawaiian grill","4100 03rd st","San Francisco","CA","94124","86.0","4.5"
"paulie's pickling","331 cortland ave","San Francisco","CA","94110","96.0","4.5"
"mathilde french bistro","315 05th st","San Francisco","CA","94107","86.0","4.0"
"mission pie","2901 mission st","San Francisco","CA","94110","100.0","4.0"
"cafe de casa","2701 leavenworth st","San Francisco","CA","94133","94.0","4.5"
"sugarhill kitchen","1449 lombard st","San Francisco","CA","94123","91.0","4.0"
"new russian hill market","1198 pacific ave","San Francisco","CA","94133","100.0","4.0"
"parlor 1255","1255 battery st ste. 700","San Francisco","CA","94111","94.0","4.0"
"lou's cafe","100 pine st 102","San Francisco","CA","94111","86.0","4.5"
"sam's diner","1220 market street","San Francisco","CA","94102","86.0","4.0"
"another cafe","1191 pine st","San Francisco","CA","94109","87.0","4.0"
"banh mi house","2701 san bruno ave","San Francisco","CA","94134","91.0","4.5"
"bartlett hall","242 o'farrell st","San Francisco","CA","94102","83.0","3.5"
"the italian homemade company","716 columbus ave","San Francisco","CA","94133","82.0","4.5"
"chai bar by david rio","1019 market st","San Francisco","CA","94103","96.0","4.5"
"the morris","2501 mariposa st","San Francisco","CA","94110","87.0","4.5"
"mymy","1500 california st","San Francisco","CA","94109","94.0","4.0"
"oasis grill","200 04th st","San Francisco","CA","94103","90.0","4.0"
"boudin bakery & cafe","160 jefferson st 1st floor","San Francisco","CA","94133","98.0","4.0"
"state bird provisions","1529 fillmore st","San Francisco","CA","94115","92.0","4.0"
"20th century cafe","198 gough st","San Francisco","CA","94102","94.0","4.0"
"central coffee tea & spice","1696 hayes st","San Francisco","CA","94117","87.0","4.5"
"cindy's market","2084 hayes st","San Francisco","CA","94117","98.0","4.5"
"the richfield","195 05th ave","San Francisco","CA","94118","94.0","4.5"
"alimento","507 columbus ave","San Francisco","CA","94133","96.0","4.5"
"poke life","1700 owens st.","San Francisco","CA","94158","88.0","4.0"
"barrel head brewhouse","1785 fulton st","San Francisco","CA","94117","83.0","4.0"
"sunset reservoir brewing company","1735 noriega st","San Francisco","CA","94122","92.0","3.5"
"chantal guillon","437 a hayes st","San Francisco","CA","94102","96.0","4.5"
"church street cafe","260 church st","San Francisco","CA","94114","100.0","4.0"
"cafe murano","2301 bryant st","San Francisco","CA","94110","96.0","4.0"
"fillmore street cafe","1301 fillmore street","San Francisco","CA","94115","90.0","4.0"
